id,機種名,変更日,変更内容,変更内容詳細,評価内容,評価内容詳細,評価結果
CP-017,NE-BS9A,2022-12-13,庫内灯のLED化,庫内照明を白熱球からLEDユニットへ変更。省電力化と長寿命化が目的で、高温庫内環境でのLED耐熱性の確認が必要。,耐熱寿命・照度・EMC評価,オーブン運転時のLED周囲温度実測と高温点灯寿命試験、庫内照度分布の新旧比較、LED駆動回路追加による雑音端子電圧の再測定を実施。,合格
CP-018,NE-BS9A,2024-05-20,インバーター基板の電解コンデンサ供給元変更,平滑用電解コンデンサの第二供給元品を追加(NE-UBS10Aと共通の複数購買化施策)。基板レイアウトは共通のため電気評価を中心に実施。,電気性能・寿命加速試験評価,定格出力時のリップル電流とコンデンサ温度上昇測定、高温負荷寿命加速試験を実施。上位機種の評価結果を流用し、本機種固有の放熱条件差分のみ確認。,合格
CP-019,NE-BS9A,2023-10-11,取扱説明書の電子化に伴う同梱物変更,詳細取扱説明書を電子化しWebマニュアルへ移行。同梱物は簡易スタートガイドのみとし、梱包内容と法定表示の変更が発生。,法定表示適合・ユーザビリティ評価,電気用品安全法および家庭用品品質表示法上の必須記載事項が同梱物に残っていることを確認。高齢ユーザーを含むモニターでWebマニュアル到達性を評価。,合格
CP-020,NE-BS9A,2022-10-18,ドアヒンジばね定数の変更,縦開きドアの開閉フィーリング改善のためヒンジスプリングのばね定数を変更。ドア自重保持とソフトクローズ性の両立を狙う。,ドア開閉耐久・保持力・操作力評価,ドア開閉10万回耐久試験、任意角度でのドア保持力測定、開閉操作力の官能評価を実施。耐久後のマイクロ波漏洩量も確認。,不合格(対策後合格)
CP-021,NE-BS8A,2023-09-28,ドアパッキンのシリコーンからEPDMへの材質変更(横展開),NE-BS9Aで採用したEPDMパッキンを本機種へ横展開。ドア構造は共通だが、低温環境での復元性に機種間差が見られたため追加評価を実施。,低温環境シール性・マイクロ波漏洩評価,低温環境保管後のパッキン復元性とドア閉まり性を確認。常温・低温それぞれでマイクロ波漏洩量を測定し、規格値に対する余裕度を比較。,条件付き合格
CP-022,NE-BS8A,2023-10-05,赤外線センサーの高分解能化(横展開),上位機種で採用済みの高分解能赤外線センサーを本機種へ展開。センサー取付位置が上位機種と異なるため検知視野の個別確認が必要。,検知視野確認および自動あたため性能評価,庫内検知視野マッピングと、標準負荷・2品同時あたための仕上がり温度測定を実施。既存評価データとの差分確認方式で工数を削減。,合格
CP-023,NE-BS8A,2023-05-18,庫内コーティングのセラミック系への変更(横展開),NE-UBS10Aで採用したセラミック系コーティングを本機種へ横展開。本機種は塗装ラインが異なる工場で生産されるため、工程条件の同等性確認が必要。,塗膜密着性・耐熱性・工程能力評価,碁盤目試験による塗膜密着性確認、高温運転繰り返し後の外観確認、量産ラインでの膜厚分布の工程能力調査を実施。,合格
CP-024,NE-BS8A,2023-07-05,湿度センサーの検知素子変更,蒸気検知用湿度センサーの検知素子を供給元推奨の後継品へ変更。応答速度が旧品より速いため、自動あたため判定タイミングへの影響確認が必要。,センサー応答特性・自動あたため性能評価,蒸気立ち上がりに対するセンサー出力応答を新旧比較し、判定しきい値の要調整有無を確認。全自動メニューでの仕上がり評価を実施。,合格
CP-025,NE-BS8A,2023-09-12,自動あたためアルゴリズムの制御ソフト改良(横展開),少量負荷の加熱過多抑制ロジックをシリーズ共通ソフトとして適用。本機種はセンサー構成が上位機種と異なるため湿度センサー主体の判定に調整。,ソフト回帰テストおよび加熱性能評価,自動メニュー全数の回帰テストと少量負荷での仕上がり温度測定を実施。湿度センサー主体判定への変更による飲み物あたための過加熱有無を重点確認。,合格
CP-026,NE-BS8A,2023-12-05,角皿のフッ素コート仕様変更,付属角皿のフッ素コートを2層コートから高耐久1層コートへ変更しコストダウン。こびりつき性と耐傷性の同等性確認が必要。,コート耐久性・こびりつき性・食品衛生評価,金属たわし摩耗試験と調理繰り返しによるコート剥がれ確認、油汚れの洗浄性比較、食品接触材料としての溶出試験を実施。,合格
CP-027,NE-BS8A,2024-06-17,インバーター基板の電解コンデンサ供給元変更,シリーズ共通の複数購買化施策として第二供給元コンデンサを追加。基板は上位機種と共通設計のため差分評価方式で実施。,電気性能確認(差分評価),本機種の定格出力条件でのリップル電流とコンデンサ温度上昇を実測し、上位機種評価データとの整合を確認。寿命加速試験は共通データを流用。,合格
CP-028,NE-BS8A,2022-09-12,電源プラグのトラッキング対策形状への変更,電源コードセットをトラッキング対策プラグ(絶縁スリーブ付き)の新仕様へ変更。安全規格対応の全社共通施策。,電気用品安全法適合・挿抜耐久評価,電源コードセットの電安法技術基準適合確認、プラグ挿抜耐久試験、コード引張・屈曲試験を実施。,合格
CP-029,NE-BS8A,2024-03-11,庫内接合工程のスポット溶接からレーザー溶接への変更,庫内ボックスの接合をスポット溶接からレーザー溶接へ変更し、生産タクト短縮と外観品位向上を図る。接合強度とマイクロ波シール性の確認が必要。,接合強度・マイクロ波漏洩・耐久評価,接合部の引張強度・剥離強度測定、庫内全周のマイクロ波漏洩量測定、輸送振動および落下試験後の接合部クラック確認を実施。,合格
CP-030,NE-BS8A,2024-08-19,表示LCDの偏光板変更,表示部LCDモジュールの偏光板が材料メーカーの生産終了により代替品へ変更。視認性と耐候性の同等性確認が必要。,表示品位・耐環境評価,輝度・コントラスト・視野角の新旧比較測定、高温高湿保存および温度サイクル試験後の偏光板剥がれ・変色確認を実施。,合格
CP-031,NE-BS6A,2024-01-15,マグネトロンの供給元変更(生産終了対応),現行マグネトロンの生産終了(EOL)に伴い後継供給元品へ変更。発振周波数帯は同一だが起動特性とアンテナ形状が異なる。,加熱性能・マイクロ波漏洩・EMC評価,定格高周波出力の測定と水負荷加熱ムラ評価、庫内定在波分布の変化確認、マイクロ波漏洩量測定および放射妨害波の再測定を実施。,合格
CP-032,NE-BS6A,2023-02-22,ドアヒンジ樹脂ブッシュの材質変更,ドアヒンジ摺動部の樹脂ブッシュをPOMからグリス含有POMへ変更。開閉時の異音対策と摺動耐久の向上を狙う。,ドア開閉耐久・異音・操作力評価,ドア開閉10万回耐久試験での摩耗量測定、耐久前後の開閉異音官能評価、低温環境での操作力変化確認を実施。,合格
CP-033,NE-BS6A,2023-03-29,操作ボタンのタクトスイッチ変更,操作基板のタクトスイッチを荷重特性の異なる後継品へ変更(現行品EOL)。クリック感と耐久性の確認が必要。,押下耐久・操作フィーリング評価,タクトスイッチ単体の押下耐久試験(定格回数)と、製品状態での操作フィーリングの官能評価、耐久後の接触抵抗測定を実施。,合格
CP-034,NE-BS6A,2023-06-07,自動メニュー構成変更に伴う制御ソフト変更,商品企画変更により自動メニューを再構成し、使用頻度の低いメニューを削除、トースト強化メニューを追加。メニューテーブルと表示の変更が発生。,追加メニュー調理性能・ソフト回帰テスト,追加メニューの調理仕上がり官能評価と、既存メニューの回帰テストを実施。メニュー番号変更に伴う取扱説明書・本体表示の整合確認を含む。,合格
CP-035,NE-BS6A,2024-01-24,庫内フッ素コートの膜厚仕様変更,庫内フッ素コートの標準膜厚を見直し、塗料使用量を削減するコストダウン施策。清掃性と耐久性の下限保証の確認が必要。,コート耐久性・清掃性評価,下限膜厚サンプルでの汚れ焼き付き拭き取り試験、加熱繰り返しによる塗膜劣化確認、量産膜厚分布の工程能力確認を実施。,条件付き合格
CP-036,NE-BS6A,2024-07-09,インバーター基板の電解コンデンサ供給元変更,シリーズ共通の複数購買化施策として第二供給元品を追加。本機種は基板の放熱設計が上位機種と異なるため温度実測を個別に実施。,コンデンサ温度上昇・電気性能評価,最大負荷連続運転時のコンデンサ温度上昇を実測し、推定寿命が設計基準を満たすことを確認。リップル電流とインバーター出力波形の新旧比較を実施。,合格
CP-037,NE-BS6A,2022-11-07,電源プラグのトラッキング対策形状への変更,全社共通施策として絶縁スリーブ付きプラグの電源コードセットへ変更。コード長・定格は変更なし。,電気用品安全法適合・挿抜耐久評価(共通データ流用),コードセット単体の適合性は共通評価データを流用し、本機種ではコードブッシュ部の取り回しと引張強度のみ個別確認を実施。,合格
CP-038,NE-BS6A,2023-06-14,梱包緩衝材のパルプモールドへの変更(横展開),上位機種で採用したパルプモールド緩衝材を本機種へ横展開。本体質量が異なるため緩衝材リブ形状を機種専用に再設計。,輸送振動・落下試験による梱包保護性能評価,JIS準拠の輸送振動・落下試験で製品保護性を確認。積み重ね保管を想定した圧縮クリープ試験を追加実施。,合格
CP-039,NE-BS6A,2024-05-08,冷却ファンモーターのDCモーター化,本体冷却ファンをACモーターからDCブラシレスモーターへ変更。回転数制御による静音化と待機時消費電力の削減を狙う。,冷却性能・騒音・EMC評価,各運転モードでの主要部品温度飽和測定、運転音の周波数分析と官能評価、モータードライバ追加による雑音端子電圧・放射妨害波の測定を実施。,合格
CP-040,NE-BS6A,2024-07-17,本体断熱材の仕様変更,庫内周囲の断熱材を現行グラスウールから薄型高性能断熱材へ変更し、外装温度低減と庫内容量確保を両立。難燃性の確認が必要。,外装温度上昇・難燃性・断熱耐久評価,オーブン最高温度運転時の外装各部温度測定、断熱材の難燃性試験、加熱冷却サイクルによる断熱材のへたり確認を実施。,合格
CP-041,NE-UBS5A,2022-12-06,スチームタンクの樹脂材質変更,給水タンクの材質をPCからPCT樹脂へ変更。食洗機洗浄への耐性向上とクラック不良の低減を狙う。,耐薬品性・耐久性・食品衛生評価,食洗機用洗剤への浸漬耐性試験、給水口の着脱繰り返し耐久試験、飲料水接触部材としての溶出試験を実施。,合格
CP-042,NE-UBS5A,2024-01-20,スチームポンプの供給元変更(横展開),シリーズ共通の新供給元スチームポンプを本機種へ適用。コンパクト筐体のためポンプ取付姿勢が上位機種と異なり、姿勢差の影響確認が必要。,取付姿勢での吐出特性・振動騒音評価,実機取付姿勢でのスチーム吐出量と呼び水特性の測定、ポンプ振動の筐体伝搬による動作音の官能評価を実施。,合格
CP-043,NE-UBS5A,2023-05-24,排気ダクト形状の変更,コンパクト筐体の背面設置性改善のため排気ダクトの経路を変更。排気温度と結露のバランス確認が必要。,排気温度・周囲壁面温度・結露評価,壁寄せ設置状態での排気温度と周囲壁面温度の測定、スチーム運転時のダクト内結露量と滴下有無の確認、連続運転での庫内温度への影響評価を実施。,合格
CP-044,NE-UBS5A,2023-10-25,センサーハーネスの配線経路・コネクタ変更,蒸気センサーと温度センサーのハーネスを共通コネクタ化し、組立工数を削減。高温部近傍の配線経路が変わるため被覆耐熱の確認が必要。,耐熱・振動耐久・組立性評価,ハーネス表面温度の実測と被覆材耐熱定格との照合、輸送振動試験後のコネクタ嵌合・断線確認、量産ラインでの誤組付け防止(逆挿し不可形状)の確認を実施。,合格
CP-045,NE-UBS5A,2024-02-07,スチーム制御ソフトの改良,スチーム加熱立ち上げ時のポンプ間欠駆動パターンを改良し、予熱時間を短縮。ヒーターとポンプの協調制御タイミングを変更。,スチーム性能・ソフト回帰テスト,予熱時間と庫内蒸気量立ち上がりの新旧比較、スチームメニュー全数の調理仕上がり確認、空焚き検知など保護機能の回帰テストを実施。,合格
CP-046,NE-UBS5A,2023-12-08,ドアパッキンの断面形状変更,材質はシリコーンを継続しつつ、ドアパッキンの断面形状をリップ形状へ変更。コンパクト筐体でのシール圧不足の対策。,マイクロ波漏洩・ドア閉め感・耐久評価,ドア全周のマイクロ波漏洩量測定と閉扉力の測定、開閉耐久試験後のリップ形状のへたり確認、スチーム運転後の水滴侵入有無の確認を実施。,合格
CP-047,NE-UBS5A,2024-08-21,インバーター基板の電解コンデンサ供給元変更,シリーズ共通の複数購買化施策。コンパクト筐体で基板周囲温度が高めのため、温度実測を重点的に実施。,コンデンサ温度上昇・推定寿命評価,最悪条件(高室温・連続運転)でのコンデンサ温度上昇を実測し、アレニウス則による推定寿命が設計基準を満たすことを確認。,条件付き合格
CP-048,NE-UBS5A,2024-04-23,天面ガラスの印刷仕様変更,天面フラットガラスの意匠印刷を変更し、印刷色数を削減するコストダウン施策。外観意匠の承認と耐久確認が必要。,外観品位・耐摩耗・耐熱評価,限度見本による外観意匠確認、天面清掃を想定した摩耗試験、調理熱による印刷変色の確認を実施。,合格
CP-049,NE-UBS5A,2023-02-15,設置脚ゴムの材質変更,設置脚のゴム材質をNBRから非移行性エラストマーへ変更。設置面(家具塗装面)への色移り・貼り付きクレーム対策。,非移行性・滑り止め性能・耐久評価,各種家具塗装面への長期接触による色移り試験、ドア開閉反力に対する本体滑り量測定、荷重クリープによる脚つぶれ確認を実施。,合格
CP-050,NE-UBS5A,2023-04-19,庫内灯のLED化(横展開),シリーズ共通施策として庫内照明をLEDユニットへ変更。本機種はスチーム運転比率が高いため高湿環境での耐久確認を追加。,高湿環境耐久・照度評価,スチーム運転繰り返しによるLEDユニットへの結露影響確認、高温高湿点灯寿命試験、庫内照度の新旧比較を実施。,合格
CP-051,NE-MS4A,2024-02-14,庫内コーティングのセラミック系への変更(横展開),上位シリーズで実績のあるセラミック系コーティングを普及価格帯の本機種へ展開。塗装条件を本機種生産ラインへ移管するための工程確認が必要。,塗膜品質・工程能力・清掃性評価,移管ラインでの膜厚・密着性の工程能力調査、高温運転繰り返しによる塗膜耐久確認、汚れ拭き取り性の従来フッ素コートとの比較を実施。,合格
CP-052,NE-MS4A,2024-02-20,マグネトロンの供給元変更(生産終了対応),現行マグネトロンのEOLに伴い後継供給元品へ変更(NE-BS6Aと共通部品)。本機種はインバーター出力設定が異なるため個別評価を実施。,加熱性能・起動特性・EMC評価,定格高周波出力と加熱ムラの測定、低電圧起動時のモーディング有無確認、放射妨害波の再測定を実施。,合格
CP-053,NE-MS4A,2023-04-11,操作ダイヤルのロータリーエンコーダー変更,操作ダイヤルのエンコーダーを現行品EOLにより後継品へ変更。クリック数とトルク特性が異なるため操作性の確認が必要。,回転耐久・操作フィーリング・誤検出評価,エンコーダー回転耐久試験、ダイヤル操作の官能評価、高速回転時のチャタリングによる設定飛び有無の確認を実施。,合格
CP-054,NE-MS4A,2024-03-22,自動あたため判定しきい値の制御ソフト調整,湿度センサー主体の自動あたため判定しきい値を見直し、少量負荷での過加熱を抑制。シリーズ共通ロジックの本機種向け調整。,自動あたため性能・ソフト回帰テスト,少量・標準・大負荷での仕上がり温度測定、自動メニュー回帰テスト、庫内温度が高い連続使用時の判定精度確認を実施。,合格
CP-055,NE-MS4A,2023-09-20,オーブンヒーター管の供給元変更,シーズヒーターの供給元を変更。ヒーター表面負荷と立ち上がり特性が微差あり、温度分布への影響確認が必要。,オーブン性能・ヒーター耐久評価,オーブン予熱時間と庫内温度分布の新旧比較、ヒーター通電サイクル耐久試験、赤熱ムラの外観確認を実施。,合格
CP-056,NE-MS4A,2024-09-10,インバーター基板の電解コンデンサ供給元変更,シリーズ共通の複数購買化施策として第二供給元品を追加。評価は上位機種データの流用を基本とし、本機種条件の差分のみ確認。,電気性能確認(差分評価),本機種定格でのリップル電流・温度上昇の実測確認を実施。寿命加速試験データはシリーズ共通評価を流用。,合格
CP-057,NE-MS4A,2024-06-11,ドアフック樹脂の材質変更,ドアラッチフックの樹脂をPOMからガラス強化PBTへ変更。ドア閉め衝撃の繰り返しによる摩耗・破損対策。,ドア開閉耐久・フック強度・インターロック動作評価,ドア開閉10万回耐久試験でのフック摩耗量測定、ドア勢い閉め衝撃試験、耐久後のドアスイッチ(インターロック)動作タイミング確認を実施。,合格
CP-058,NE-MS4A,2023-11-08,梱包緩衝材のパルプモールドへの変更(横展開),シリーズ共通の脱プラスチック施策。本機種は流通ルートに通販比率が高く、個別宅配の荷扱いを想定した追加評価を実施。,輸送振動・多面落下試験評価,JIS準拠試験に加え、通販物流を想定した多面落下・回転落下試験を実施し、外装・ドアガラス・庫内部品の損傷有無を確認。,合格
CP-059,NE-MS4A,2023-03-14,定格銘板の印刷からレーザー刻印への変更,背面定格銘板をシール印刷からレーザー刻印へ変更し、銘板シールの剥がれ・誤貼付不良を排除。法定表示の視認性確認が必要。,法定表示適合・視認性・耐久評価,電気用品安全法の表示要件(文字高さ・内容)適合確認、刻印コントラストの視認性評価、清掃薬品による文字消え確認を実施。,合格
CP-060,NE-MS4A,2024-10-02,冷却ファン羽根形状の変更(騒音対策),レンジ運転時の風切り音低減のため冷却ファンの羽根形状を変更。風量を維持しつつ特定周波数のピーク音を低減する設計。,騒音・冷却性能評価,運転音の周波数分析でピーク音の低減量を確認し、官能評価を実施。風量低下がないことをマグネトロン温度飽和測定で確認。,合格
CP-061,NE-MS267,2024-04-10,マグネトロンの供給元変更(生産終了対応),現行マグネトロンのEOLに伴い後継供給元品へ変更。本機種は非インバーターの高圧トランス駆動のため、駆動条件差による発振安定性の確認が必要。,発振安定性・加熱性能・マイクロ波漏洩評価,電源電圧変動時の発振安定性(モーディング)確認、定格出力と加熱ムラの測定、マイクロ波漏洩量の測定を実施。低電圧側でモーディング傾向が見られたため駆動条件を再調整。,条件付き合格
CP-062,NE-MS267,2024-02-05,ドアパッキンのEPDM化(横展開),シリーズ展開中のEPDMパッキンを本機種へ適用。ドア構造が旧設計のためパッキン溝形状の適合確認が必要。,マイクロ波漏洩・組付性・耐久評価,パッキン組付け後の浮き・ねじれの外観確認、ドア全周のマイクロ波漏洩量測定、開閉耐久後のシール性確認を実施。,合格
CP-063,NE-MS267,2023-11-27,湿度センサーの後継品変更,自動あたため用湿度センサーを供給元後継品へ変更(NE-BS8Aと共通部品化)。本機種の排気経路でのセンサー出力特性確認が必要。,センサー出力特性・自動あたため性能評価,本機種排気ダクトでの蒸気応答出力を測定し判定しきい値を調整。ごはん・飲み物・冷凍食品での自動あたため仕上がりを確認。,合格
CP-064,NE-MS267,2023-02-08,庫内塗装の粉体塗装ライン移管,庫内塗装を溶剤塗装ラインから粉体塗装ラインへ移管し、VOC削減と塗着効率向上を図る。塗膜特性が変わるため耐久確認が必要。,塗膜密着性・耐食性・耐熱評価,碁盤目密着性試験、塩水噴霧による耐食性試験、加熱繰り返しによる変色・チョーキング確認を実施。,合格
CP-065,NE-MS267,2024-10-15,制御基板の電解コンデンサ供給元変更,制御基板の電解コンデンサを複数購買化のため第二供給元品へ変更。初回評価でリップル電流マージン不足が判明。,リップル電流・温度上昇・寿命評価,実機リップル電流の実測で定格に対する余裕度不足を検出し不合格判定。定格の一段上の品番へ変更のうえ再評価し、温度上昇・推定寿命とも基準を満たすことを確認。,不合格(対策後合格)
CP-066,NE-MS267,2023-07-12,制御基板レイアウト変更(部品集約),制御基板の部品集約により基板サイズを縮小するコストダウン施策。高圧部との沿面距離と放熱条件が変わるため安全性確認が必要。,絶縁距離・温度上昇・EMC評価,電安法基準の沿面距離・空間距離の図面および実基板確認、主要部品の温度上昇測定、基板レイアウト変更に伴う雑音端子電圧の再測定を実施。,合格
CP-067,NE-MS267,2023-08-09,ドア開閉機構のばね材変更,ドアスプリングの材料を硬鋼線からステンレス鋼線へ変更。高湿環境での発錆クレーム対策。,ドア開閉耐久・耐食性評価,開閉10万回耐久試験でのばね特性変化測定、高温高湿保存後の発錆確認、耐久後のドア保持力とマイクロ波漏洩量の確認を実施。,合格
CP-068,NE-MS267,2023-05-09,操作パネルの印刷仕様変更,操作パネルの表示印刷を変更し、視認性改善のため文字サイズとコントラストを見直し。ユニバーサルデザイン対応施策。,視認性・耐摩耗評価,高齢モニターを含む視認性評価、ボタン部押下繰り返しによる印刷摩耗試験、洗剤拭き取りによる印字耐久確認を実施。,合格
CP-069,NE-MS267,2023-01-23,電源プラグのトラッキング対策形状への変更,全社共通施策として絶縁スリーブ付きプラグへ変更。共通評価データを流用し機種固有部のみ確認。,コード取り回し・引張強度確認(差分評価),本機種のコードブッシュ形状での引張・屈曲試験と、背面設置時のコード取り回し確認を実施。,合格
CP-070,NE-MS267,2024-01-29,取扱説明書の電子化に伴う同梱物変更(横展開),シリーズ共通施策として詳細説明書をWebマニュアル化。本機種はネット非利用ユーザー比率が高い想定のため紙面の残し方を個別検討。,法定表示適合・ユーザビリティ評価,簡易ガイドへの必須記載事項の網羅確認と、ネット非利用ユーザーを想定した基本操作到達性のモニター評価を実施。,合格
CP-071,NE-FS3A,2024-03-05,マグネトロンの供給元変更(生産終了対応),現行マグネトロンのEOLに伴い後継供給元品へ変更。単機能機のインバーター駆動条件での適合確認が必要。,加熱性能・起動特性・マイクロ波漏洩評価,定格高周波出力の測定、低温・低電圧環境での起動特性確認、水負荷加熱ムラとマイクロ波漏洩量の測定を実施。,合格
CP-072,NE-FS3A,2023-09-06,庫内底面プレートのガラスからセラミックへの変更,フラット庫内の底面プレートを強化ガラスからセラミックプレートへ変更。耐衝撃性の向上と割れクレームの低減を狙う。,耐衝撃・耐熱衝撃・加熱性能評価,鋼球落下による耐衝撃試験、高温プレートへの冷水滴下による耐熱衝撃試験、プレート材質変化によるマイクロ波透過性と加熱ムラの確認を実施。,合格
CP-073,NE-FS3A,2023-08-22,出力自動切替ソフトの変更,手動あたためで一定時間経過後に出力を自動で低下させる制御を追加し、加熱過多による食品飛散を抑制。タイマー制御ロジックの変更。,加熱性能・ソフト回帰テスト,代表食品での加熱時間と仕上がりの新旧比較、出力切替タイミングの妥当性の官能評価、手動運転全モードの回帰テストを実施。,合格
